route_id,source,sink,mandatory,q_min_delivered_lpm,measurement_required,dose_min_l,dose_error_max_pct,weight,need_pump
R001,W,M,1,30,0,0.0,100.0,1.0,1
R002,W,I,1,20,0,0.0,100.0,1.0,1
R003,W,S,1,40,0,0.0,100.0,1.0,1
R004,P1,M,1,12,1,1.0,1.0,1.0,1
R005,P2,M,1,12,1,1.0,1.0,1.0,1
R006,P3,M,1,12,1,1.0,1.0,1.0,1
R007,P4,M,1,12,1,1.0,1.0,1.0,1
R008,I,M,1,10,1,1.0,1.0,0.9,1
R009,I,P1,1,8,1,0.5,1.0,0.7,1
R010,I,P2,1,8,1,0.5,1.0,0.7,1
R011,I,P3,1,8,1,0.5,1.0,0.7,1
R012,I,P4,1,8,1,0.5,1.0,0.7,1
R013,I,IR,1,15,0,0.0,100.0,0.8,1
R014,M,S,1,50,1,5.0,2.0,1.0,1
R015,W,P1,0,15,0,0.0,100.0,0.2,1
R016,W,P2,0,15,0,0.0,100.0,0.2,1
R017,W,P3,0,15,0,0.0,100.0,0.2,1
R018,W,P4,0,15,0,0.0,100.0,0.2,1
R019,P1,S,0,10,1,1.0,1.5,0.2,1
R020,P2,S,0,10,1,1.0,1.5,0.2,1
R021,P3,S,0,10,1,1.0,1.5,0.2,1
R022,P4,S,0,10,1,1.0,1.5,0.2,1
R023,I,S,0,10,1,1.0,1.5,0.2,1
